################################################################################################
### CosmicWatch: The Desktop Muon Detector
### Device ID: ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
### Launch time: 22:39:00 2/4/2019
### Questions? Email Spencer N. Axani (saxani@mit.edu)
### Event Time Date TimeStamp[ms] ADC1 ADC2 SiPM[mV] Temp[C] Pressure[Pa] DeadTime[us] Coincident
################################################################################################
1	22:39:02	2/4/2019 	1448	948.00	151.00	39.45	22.04	102444.41	101088	0	
2	22:39:03	2/4/2019 	2553	938.00	143.00	38.14	22.04	102445.08	107046	0	
3	22:39:04	2/4/2019 	3263	199.00	8.00	9.28	22.04	102445.08	1850	0	
4	22:39:05	2/4/2019 	4018	945.00	149.00	39.13	22.04	102445.41	52391	0	
5	22:39:05	2/4/2019 	4865	93.00	13.00	6.42	22.04	102445.91	52392	0	
6	22:39:05	2/4/2019 	4895	271.00	9.00	10.66	22.04	102445.91	1847	0	
7	22:39:07	2/4/2019 	6907	909.00	115.00	32.93	22.04	102446.19	102934	0	
8	22:39:07	2/4/2019 	6982	443.00	9.00	12.51	22.04	102446.19	1850	0	
9	22:39:08	2/4/2019 	7270	88.00	8.00	6.30	22.04	102446.52	3896	0	
10	22:39:08	2/4/2019 	7455	969.00	351.00	66.06	22.04	102446.52	1847	0	
11	22:39:09	2/4/2019 	8836	880.00	74.00	25.49	22.04	102446.68	102933	1	
12	22:39:10	2/4/2019 	9591	390.00	8.00	12.04	22.04	102447.01	52389	0	
13	22:39:12	2/4/2019 	11225	922.00	134.00	36.55	22.04	102447.34	53141	1	
14	22:39:13	2/4/2019 	12374	119.00	8.00	7.12	22.04	102447.84	52390	0	
15	22:39:14	2/4/2019 	13232	242.00	8.00	10.15	22.04	102448.00	52387	0	
16	22:39:14	2/4/2019 	13246	966.00	247.00	49.93	22.04	102448.00	3987	0	
17	22:39:14	2/4/2019 	13672	313.00	9.00	11.27	22.04	102448.00	52386	0	
18	22:39:14	2/4/2019 	13857	165.00	9.00	8.44	22.04	102448.00	1847	0	
19	22:39:15	2/4/2019 	14196	794.00	41.00	21.58	22.04	102447.84	1848	0	
20	22:39:15	2/4/2019 	14767	573.00	9.00	13.68	22.04	102446.92	52389	0	
21	22:39:17	2/4/2019 	16748	303.00	9.00	11.13	22.04	102447.09	102934	0	
22	22:39:17	2/4/2019 	16863	820.00	40.00	21.52	22.04	102447.09	1850	0	
23	22:39:18	2/4/2019 	17184	122.00	9.00	7.21	22.04	102447.09	3842	0	
24	22:39:18	2/4/2019 	17623	186.00	8.00	8.97	22.04	102447.09	52390	0	
25	22:39:18	2/4/2019 	17684	146.00	8.00	7.90	22.04	102447.25	1846	0	
26	22:39:18	2/4/2019 	17930	755.00	21.00	18.41	22.04	102447.25	1844	0	
27	22:39:19	2/4/2019 	18008	114.00	8.00	6.98	22.04	102447.25	1848	0	
28	22:39:19	2/4/2019 	18779	80.00	8.00	6.14	22.04	102447.42	52388	0	
